card_id,card_index,card_brand,card_type,has_chip,cards_issued,credit_limit,year_pin_last_changed,card_on_dark_web,expire_month,expire_year,opening_month,opening_year,user_id,card_last4
1,0,Visa,Debit,YES,2,24295.0,2008,No,12,2022,09,2002,1,0444
2,1,Visa,Debit,YES,2,21968.0,2014,No,12,2020,04,2014,1,9986
3,2,Visa,Debit,YES,2,46414.0,2004,No,02,2024,07,2003,1,5491
4,3,Visa,Credit,NO,1,12400.0,2012,No,08,2024,01,2003,1,9057
5,4,Mastercard,Debit (Prepaid),YES,1,28.0,2009,No,03,2009,09,2008,1,6011
6,0,Visa,Credit,YES,1,27500.0,2012,No,09,2003,09,2003,2,2993
7,1,Visa,Debit,YES,2,28508.0,2011,No,07,2022,02,2011,2,8631
8,2,Mastercard,Debit,YES,2,9022.0,2015,No,06,2022,07,2003,2,0948
9,3,Mastercard,Debit (Prepaid),YES,2,54.0,2015,No,11,2020,06,2010,2,9326
10,4,Mastercard,Debit (Prepaid),YES,1,99.0,2012,No,02,2023,07,2006,2,8701
11,0,Mastercard,Debit,YES,2,31599.0,2009,No,03,2022,10,2009,3,2054
12,1,Mastercard,Debit,NO,2,27480.0,2008,No,07,2023,03,2002,3,8599
13,2,Mastercard,Debit,YES,1,26743.0,2019,No,02,2020,03,2019,3,9834
14,3,Visa,Debit,YES,1,31463.0,2014,No,06,2020,04,2014,3,7294
15,4,Mastercard,Debit,YES,1,16055.0,2009,No,06,2024,09,2009,3,2493
16,0,Visa,Credit,YES,2,98100.0,2011,No,05,2015,01,2011,4,4817
17,1,Mastercard,Debit (Prepaid),YES,1,62.0,2007,No,06,2020,02,2007,4,7991
18,2,Visa,Debit,YES,1,132439.0,2011,No,06,2022,11,2010,4,4503
19,3,Visa,Debit,YES,1,125723.0,2010,No,06,2020,10,2009,4,6357
20,0,Mastercard,Debit,YES,1,34900.0,2012,No,01,2022,12,1999,5,7659
21,0,Visa,Credit,YES,2,9900.0,2019,No,09,2021,01,2002,6,6950
22,1,Visa,Debit,YES,2,21587.0,2007,No,07,2013,09,2007,6,1212
