merchant_id,merchant_source_id,merchant_city,merchant_state,zip,mcc
1,4722913068560264812,San Francisco,CA,94121.0,5411
2,-8085097845649012270,Troy,MI,48083.0,5812
3,-4500542936415012428,Orangeburg,SC,29115.0,5814
4,-1288082279022882052,Merced,CA,95348.0,5499
5,-4862129288844427594,Peckville,PA,18452.0,5411
6,-2151619699797351738,ONLINE,Unknown,Unknown,5816
7,878534750241365141,Florence,SC,29503.0,5812
8,-1046622217034093949,Ellicott City,MD,21043.0,5812
9,-6160036380778658394,ONLINE,Unknown,Unknown,4121
10,-245178307025547046,Rome,Italy,Unknown,5311
11,-6571010470072147219,New Market,TN,37820.0,5499
12,-4334232547381218591,Chicago Heights,IL,60411.0,5541
13,-5467922351692495955,Scott Depot,WV,25560.0,5912
14,2552240663952107054,Arlington Heights,IL,60006.0,4111
15,-2088492411650162548,ONLINE,Unknown,Unknown,4784
16,6098687587141770242,Alpharetta,GA,30022.0,5300
17,-7612072425939666021,Marion,OH,43301.0,5651
18,-7421093378627544099,ONLINE,Unknown,Unknown,5311
19,-245178307025547046,Pompano Beach,FL,33065.0,5311
20,-4334232547381218591,Fort Mill,SC,29715.0,5541
21,-2916542501422915698,ONLINE,Unknown,Unknown,5719
22,-5467922351692495955,Arnold,MO,63010.0,5912
23,5763106017265139365,ONLINE,Unknown,Unknown,5310
24,4943697251487298296,ONLINE,Unknown,Unknown,5816
25,747841044352389520,Temecula,CA,92591.0,5813
26,-5162038175624867091,Los Angeles,CA,90001.0,5541
27,-692568456664478033,Baldwin Park,CA,91706.0,7538
28,1208392866266975428,Union,NJ,7083.0,5813
29,-7571109178800789903,West Baden Springs,IN,47469.0,5411
30,7479593622964634169,ONLINE,Unknown,Unknown,5311
31,7488618388847074803,Rome,Italy,Unknown,5651
32,-6796080605569913348,ONLINE,Unknown,Unknown,4722
33,-5162038175624867091,Monroe,MI,48162.0,5541
34,-4606216566252130660,Mesa,AZ,85213.0,5921
35,7874222190231550011,Orlando,FL,32819.0,5411
36,-4282466774399734331,ONLINE,Unknown,Unknown,4829
37,4751695835751691036,Alpharetta,GA,30005.0,5814
38,5453109580104229843,Alhambra,CA,91801.0,5651
39,-4752064311331295725,Merchantville,NJ,8109.0,4214
40,1359599345735096174,Inglewood,CA,90302.0,4121
41,-85070450838390220,Venetia,PA,15367.0,5541
42,-5841929396161652653,ONLINE,Unknown,Unknown,4121
43,-4282466774399734331,San Jose,CA,95111.0,4829
44,-4334232547381218591,San Rafael,CA,94903.0,5541
45,-5467922351692495955,Oklahoma City,OK,73159.0,5912
46,8376042053629658626,Nashville,AR,71852.0,4131
47,-8254405722253003769,Knoxville,TN,37933.0,5499
48,4241336128694185533,ONLINE,Unknown,Unknown,4814
49,7035602569409149834,ONLINE,Unknown,Unknown,5311
50,-8840252114438082545,Quakertown,PA,18951.0,5411
51,3588888627634714157,Brooklyn,NY,11215.0,7230
52,-4282466774399734331,Marion,IL,62959.0,4829
53,3888535887830277834,Pompano Beach,FL,33076.0,5310
54,4751695835751691036,Kaneohe,HI,96744.0,5814
55,-2282992071899796318,Luverne,AL,36049.0,5300
56,-682262080961825857,Sterling Heights,MI,48313.0,5812
57,7962660530673830979,Cherry Hill,NJ,8003.0,5411
58,-5162038175624867091,Riverside,IA,52327.0,5541
59,-6571010470072147219,Ridgewood,NJ,7450.0,5499
60,8099188931555596779,ONLINE,Unknown,Unknown,7996
61,-2042049018365856408,ONLINE,Unknown,Unknown,5815
62,97032797689821735,Madison,WI,53716.0,5411
63,1799189980464955940,Acworth,GA,30101.0,5499
64,-4975540861759607148,Boxford,MA,1921.0,4900
65,-4334232547381218591,Cedar Park,TX,78613.0,5541
66,3189517333335617109,ONLINE,Unknown,Unknown,5311
67,-5467922351692495955,Decatur,AL,35603.0,5912
68,548191543151977191,Alpine,UT,84004.0,5651
69,-2744911404133435018,Columbus,OH,43228.0,5812
70,5794758837639413419,Kyle,TX,78640.0,7832
71,4751695835751691036,Huntington,NY,11743.0,5814
72,-5023497618971072366,Laurinburg,NC,28353.0,5812
73,-6458444334611773637,ONLINE,Unknown,Unknown,4784
74,-4282466774399734331,Woonsocket,SD,57385.0,4829
75,874962504982792945,Hillsboro,IL,62049.0,5211
76,-1288082279022882052,Anna Maria,FL,34216.0,5499
77,2027553650310142703,Lucedale,MS,39452.0,5541
78,356104706221853120,Louisville,KY,40299.0,5812
79,-4693083519855230958,ONLINE,Unknown,Unknown,4900
80,-597609749887595869,Lake Forest,CA,92630.0,5411
81,2027553650310142703,Fresno,CA,93726.0,5541
82,3646564134821659643,Puyallup,WA,98373.0,5533
83,6455213054093379528,ONLINE,Unknown,Unknown,5815
84,-1688244360627004732,ONLINE,Unknown,Unknown,4784
85,2027553650310142703,Navarre,FL,32566.0,5541
86,-5581123930363301609,Peever,SD,57257.0,5311
87,6666504894937430109,Rockingham,NC,28379.0,5499
88,8904674113538257216,Traverse City,MI,49684.0,7210
89,8339886820111749033,Cincinnati,OH,45224.0,5300
90,1799189980464955940,Bradenton,FL,34203.0,5499
91,-3650057525483423997,ONLINE,Unknown,Unknown,3007
92,-4399087133601324700,Memphis,TN,38134.0,5411
93,-6571010470072147219,Kerhonkson,NY,12446.0,5499
94,-1125494260168755714,Walnut Creek,CA,94595.0,5912
95,4589370821914243327,Angier,NC,27501.0,5310
96,5763106017265139365,Lonoke,AR,72086.0,5310
97,3322230958888876513,Coshocton,OH,43812.0,7230
98,-3585660805062119453,Franklin,TN,37067.0,5411
99,-7052069146128772826,Barron,WI,54812.0,5814
100,7834055923142137930,ONLINE,Unknown,Unknown,3395
101,838425044734233142,ONLINE,Unknown,Unknown,4814
102,2763794886554617225,Charleston,WV,25312.0,5912
103,4423202079896873535,East Peoria,IL,61611.0,5310
104,112925206871091074,South Houston,TX,77587.0,5541
105,4118341478685714172,Boulder,CO,80302.0,5300
106,6042526206085641250,Sabetha,KS,66534.0,5912
107,-5467922351692495955,Panama City,FL,32409.0,5912
108,4751695835751691036,Lebanon,OR,97355.0,5814
109,-8583600178961461096,Burney,CA,96013.0,5411
110,1913477460590765860,Bastrop,TX,78602.0,5300
111,2027553650310142703,Duncan,SC,29334.0,5541
112,-1685852972427364627,North Hollywood,CA,91606.0,5411
113,-5581123930363301609,Mexico City,Mexico,Unknown,5311
114,-4282466774399734331,Lancaster,PA,17601.0,4829
115,3635551857898739641,Lancaster,NY,14086.0,5310
116,-4241409341442030551,ONLINE,Unknown,Unknown,7349
117,208229264279290273,Fairfield,AL,35064.0,5310
118,-521141999023077663,ONLINE,Unknown,Unknown,5815
119,-5467922351692495955,Lakewood,NJ,8701.0,5912
120,-85070450838390220,Dallas,TX,75253.0,5541
121,5272404506560440835,Naples,FL,34109.0,5912
122,-3693650930986299431,Mount Olive,MS,39119.0,4814
123,-6761066196029841443,ONLINE,Unknown,Unknown,5310
124,4506047875989444658,Latrobe,PA,15650.0,5912
125,6098563624419731578,Amherst,NH,3031.0,4214
126,-4282466774399734331,Channelview,TX,77530.0,4829
127,1799189980464955940,New York,NY,10010.0,5499
128,2027553650310142703,Brooklyn,NY,11211.0,5541
129,-727612092139916043,Rochester,MN,55901.0,5411
130,1799189980464955940,Crown Point,IN,46307.0,5499
131,4722913068560264812,Everett,PA,15537.0,5411
132,-2046486846757630017,Port au Prince,Haiti,Unknown,7011
133,-4500542936415012428,Ukiah,CA,95482.0,5814
134,-3220758452254689706,Maywood,IL,60153.0,5311
135,8100158403287669580,North Hollywood,CA,91605.0,5310
136,-6571010470072147219,Dallas,TX,75240.0,5499
137,1913477460590765860,Stamford,CT,6901.0,5300
138,878534750241365141,San Leandro,CA,94578.0,5812
139,-3096743575434866479,Oxford,MI,48371.0,5814
140,-5467922351692495955,Orangeville,PA,17859.0,5912
141,-6571010470072147219,Crane,MO,65633.0,5499
142,2027553650310142703,Marysville,OH,43040.0,5541
143,5997267228206721428,Jacksonville,FL,32222.0,7538
144,-4282466774399734331,Arlington,MA,2476.0,4829
145,5205099864768539121,Albuquerque,NM,87106.0,5812
146,5449205505965297400,Atlanta,GA,30317.0,5310
147,1913477460590765860,Brooklyn,NY,11214.0,5300
148,6278835877659459974,Naperville,IL,60565.0,7538
149,1913477460590765860,Stuart,FL,34997.0,5300
150,-5475680618560174533,Coronado,CA,92118.0,5942
151,-5162038175624867091,Dublin,GA,31021.0,5541
152,-6571010470072147219,Mendham,NJ,7945.0,5499
153,-4420752850075732489,Delphos,OH,45833.0,5813
154,5558448862056732261,Los Angeles,CA,90033.0,5300
155,5817218446178736267,Crown Point,IN,46307.0,5912
156,4396692637427695044,Bronx,NY,10456.0,5411
157,-1288082279022882052,Mission,TX,78572.0,5499
158,3189517333335617109,Sterling Heights,MI,48310.0,5311
159,2027553650310142703,Inglewood,CA,90303.0,5541
160,4722913068560264812,Burlington,WI,53105.0,5411
161,3133788828472784735,Palm Beach Gardens,FL,33410.0,5411
162,-4282466774399734331,Clearwater,MN,55320.0,4829
163,-3943656582743129537,ONLINE,Unknown,Unknown,5712
164,-1662162349688630531,Moulton,AL,35650.0,5541
165,1913477460590765860,Brookfield,CT,6804.0,5300
166,4722913068560264812,Duson,LA,70529.0,5411
167,-1642303950890406395,Rome,Italy,Unknown,5912
