transaction_id,card_id,merchant_id,year,month,day,time,amount,use_chip,errors,is_fraud
1,20,1,2010,2,8,06:59,99.96,Swipe Transaction,No Error,No
2,1728,2,2014,3,26,09:24,1.01,Swipe Transaction,No Error,No
3,4557,3,2016,12,1,05:26,45.94,Chip Transaction,No Error,No
4,1725,4,2018,8,6,12:49,86.0,Chip Transaction,No Error,No
5,5797,5,2016,2,6,12:43,93.07,Chip Transaction,No Error,No
6,4841,6,2010,3,5,15:25,119.74,Online Transaction,No Error,Yes
7,3767,7,2006,5,8,11:09,11.51,Swipe Transaction,No Error,No
8,1321,8,2019,2,16,08:10,19.01,Chip Transaction,No Error,No
9,5440,9,2018,9,1,17:26,17.86,Online Transaction,No Error,No
10,899,10,2018,12,26,11:37,92.92,Chip Transaction,No Error,Yes
11,5010,11,2020,2,11,05:32,1.06,Chip Transaction,No Error,No
12,3262,12,2017,6,2,14:41,73.0,Swipe Transaction,No Error,No
13,2146,13,2019,4,26,18:38,17.58,Chip Transaction,No Error,No
14,1498,14,2012,9,18,10:49,94.06,Swipe Transaction,No Error,No
15,1720,15,2015,12,13,13:40,41.8,Online Transaction,No Error,No
16,3577,16,2004,10,16,14:13,14.02,Swipe Transaction,No Error,No
17,6045,9,2017,9,26,21:27,39.41,Online Transaction,Bad Card Number,No
18,5602,15,2010,5,9,12:37,25.52,Online Transaction,No Error,No
19,2030,17,2018,11,10,12:52,79.52,Swipe Transaction,No Error,Yes
20,4457,18,2019,6,9,10:45,49.14,Online Transaction,No Error,No
21,1476,19,2014,6,25,20:35,0.29,Swipe Transaction,No Error,No
22,2433,20,2018,6,21,14:30,-74.0,Swipe Transaction,No Error,No
23,5825,21,2007,4,1,17:23,146.04,Online Transaction,No Error,Yes
24,5485,22,2018,6,1,09:45,14.57,Swipe Transaction,No Error,No
25,1702,23,2015,5,22,13:27,14.59,Online Transaction,No Error,Yes
26,1189,24,2008,6,7,13:45,244.38,Online Transaction,No Error,Yes
27,2111,25,2008,8,20,10:33,47.98,Swipe Transaction,No Error,Yes
28,5146,26,2015,2,4,12:29,29.67,Chip Transaction,No Error,No
29,1392,27,2017,3,4,20:55,50.91,Chip Transaction,No Error,No
30,4240,28,2012,6,7,21:52,58.99,Swipe Transaction,No Error,No
31,1989,29,2013,8,10,07:05,2.89,Swipe Transaction,No Error,No
32,1465,30,2010,6,29,04:48,91.56,Online Transaction,No Error,Yes
33,4678,31,2018,12,31,13:04,102.44,Chip Transaction,No Error,Yes
34,180,32,2016,11,29,10:58,204.31,Online Transaction,No Error,Yes
35,1789,33,2018,7,8,16:55,1.69,Swipe Transaction,No Error,No
36,3807,34,2012,2,11,10:28,6.12,Swipe Transaction,No Error,No
37,196,15,2019,3,24,14:13,20.3,Online Transaction,No Error,No
38,3960,35,2011,11,5,14:19,14.76,Swipe Transaction,No Error,No
39,4074,36,2012,7,21,19:21,117.23,Online Transaction,No Error,Yes
40,3419,37,2010,8,19,12:24,3.37,Swipe Transaction,No Error,No
41,2306,38,2017,1,2,07:58,26.61,Chip Transaction,No Error,No
42,5446,39,2009,3,5,15:29,8.49,Swipe Transaction,No Error,No
43,3932,40,2013,4,10,06:01,29.09,Swipe Transaction,No Error,No
44,615,41,2017,11,18,14:21,84.0,Chip Transaction,No Error,No
45,3534,42,2004,3,15,12:45,9.58,Online Transaction,No Error,No
46,1459,43,2005,12,2,18:44,120.0,Swipe Transaction,No Error,No
47,2068,44,2017,10,29,10:12,5.87,Chip Transaction,No Error,No
48,732,45,2009,8,17,10:53,48.38,Swipe Transaction,No Error,No
49,988,46,2012,10,19,14:23,61.08,Swipe Transaction,No Error,No
50,2800,47,2010,11,4,15:14,133.21,Swipe Transaction,No Error,No
51,1044,48,2011,4,3,13:30,108.23,Online Transaction,No Error,No
52,249,49,2007,9,9,12:23,9.89,Online Transaction,No Error,No
53,5262,50,2017,8,24,08:21,5.68,Chip Transaction,No Error,No
54,4130,48,2013,7,6,21:35,20.81,Online Transaction,No Error,No
55,5213,51,2009,2,13,14:20,26.74,Swipe Transaction,No Error,No
56,3344,52,2015,8,13,10:30,60.0,Chip Transaction,No Error,No
57,5319,9,2016,12,23,19:22,19.34,Online Transaction,No Error,No
58,851,53,2007,8,27,07:54,4.44,Swipe Transaction,No Error,No
59,1383,54,2015,9,26,13:01,13.23,Chip Transaction,No Error,No
60,2278,55,2006,10,25,12:28,9.27,Swipe Transaction,No Error,No
61,4604,56,2005,12,9,08:02,4.12,Swipe Transaction,No Error,No
62,2297,57,2015,6,19,12:29,83.91,Chip Transaction,No Error,No
63,5813,58,2015,11,23,09:47,3.33,Chip Transaction,No Error,No
64,6013,59,2010,11,2,09:18,0.54,Swipe Transaction,No Error,No
65,1944,60,2016,12,1,16:31,100.45,Online Transaction,No Error,Yes
66,4422,61,2013,10,27,09:55,149.86,Online Transaction,No Error,Yes
67,266,62,2013,9,10,08:04,49.3,Swipe Transaction,No Error,No
68,518,63,2007,8,24,19:00,62.0,Swipe Transaction,No Error,No
69,3089,64,2001,7,13,17:38,182.65,Swipe Transaction,No Error,No
70,2352,65,2011,11,2,07:43,100.0,Swipe Transaction,No Error,No
71,2169,66,2015,12,2,11:08,677.79,Online Transaction,No Error,Yes
72,4937,67,2019,11,27,13:43,53.84,Chip Transaction,No Error,No
73,2435,68,2010,7,8,11:35,29.64,Swipe Transaction,No Error,No
74,2534,69,2019,12,12,17:28,49.54,Chip Transaction,No Error,No
75,614,21,2013,9,28,08:29,12.62,Online Transaction,No Error,Yes
76,191,70,2005,4,8,15:35,66.25,Swipe Transaction,No Error,No
77,1113,71,2010,11,18,07:38,6.5,Swipe Transaction,No Error,No
78,4611,72,2005,3,29,10:15,3.65,Swipe Transaction,No Error,No
79,2701,73,2017,4,3,09:27,19.02,Online Transaction,No Error,No
80,1113,48,2009,7,5,04:41,228.47,Online Transaction,No Error,No
81,4042,74,2015,1,27,12:58,40.0,Chip Transaction,No Error,No
82,686,75,2008,9,2,13:53,79.23,Swipe Transaction,No Error,No
83,3412,76,2015,9,25,15:21,-100.0,Chip Transaction,No Error,No
84,5793,10,2017,12,12,10:45,9.5,Chip Transaction,No Error,Yes
85,1817,15,2020,1,12,09:57,31.01,Online Transaction,No Error,No
86,3732,77,2013,6,4,15:21,86.0,Swipe Transaction,No Error,No
87,1841,78,2013,10,22,12:36,1.99,Swipe Transaction,No Error,No
88,1452,79,2017,12,13,22:32,43.22,Online Transaction,No Error,No
89,4365,80,2002,2,19,20:33,16.24,Swipe Transaction,No Error,No
90,5998,81,2011,4,25,21:07,53.0,Swipe Transaction,No Error,No
91,4266,82,2019,6,27,16:43,188.76,Chip Transaction,No Error,No
92,5777,83,2018,11,10,01:22,14.58,Online Transaction,No Error,No
93,4553,84,2015,3,24,13:37,45.25,Online Transaction,No Error,No
94,3811,85,2010,8,23,12:34,47.16,Swipe Transaction,No Error,No
95,3421,42,2011,7,31,05:17,20.59,Online Transaction,No Error,No
96,2714,86,2013,8,19,09:30,5.33,Swipe Transaction,No Error,No
97,5962,87,2010,12,18,22:50,0.88,Swipe Transaction,No Error,No
98,1082,88,2001,4,19,10:42,28.75,Swipe Transaction,No Error,No
99,2767,18,2009,3,25,16:41,9.49,Online Transaction,No Error,No
100,4255,9,2019,2,13,11:53,1.77,Online Transaction,No Error,No
101,5699,89,2016,9,12,16:49,3.34,Chip Transaction,No Error,No
102,1643,90,2013,4,30,12:01,-84.0,Swipe Transaction,No Error,No
103,1479,91,2015,10,25,17:13,237.27,Online Transaction,No Error,Yes
104,1323,92,2018,9,30,12:53,15.51,Chip Transaction,No Error,No
105,5090,93,2013,5,30,11:06,0.94,Swipe Transaction,No Error,No
106,2045,94,2015,6,15,11:53,84.67,Swipe Transaction,No Error,Yes
107,3932,40,2017,4,8,06:08,23.47,Chip Transaction,No Error,No
108,5338,95,2009,4,4,10:46,37.03,Swipe Transaction,No Error,No
109,4446,96,2012,9,29,09:24,21.07,Swipe Transaction,No Error,No
110,6113,97,2020,2,1,14:36,98.77,Chip Transaction,No Error,No
111,1595,15,2004,7,22,08:05,25.05,Online Transaction,No Error,No
112,448,98,2001,1,31,10:15,4.58,Swipe Transaction,No Error,No
113,4739,99,2003,12,30,18:47,43.51,Swipe Transaction,No Error,No
114,585,100,2012,7,15,10:32,403.0,Online Transaction,No Error,Yes
115,809,101,2013,9,20,05:35,552.54,Online Transaction,No Error,Yes
116,1947,102,2008,5,20,08:30,50.13,Swipe Transaction,No Error,No
117,5686,103,2017,5,2,15:48,12.0,Swipe Transaction,No Error,No
118,3798,104,2019,12,27,15:24,111.48,Chip Transaction,No Error,No
119,2036,105,2013,11,7,15:20,19.03,Swipe Transaction,No Error,No
120,5620,106,2020,2,24,07:29,38.91,Chip Transaction,No Error,No
121,1255,107,2003,11,9,14:15,1.7,Swipe Transaction,No Error,No
122,3351,108,2001,4,22,17:25,44.21,Swipe Transaction,No Error,No
123,3220,109,2004,2,16,19:18,134.0,Swipe Transaction,No Error,No
124,5286,110,2011,2,14,12:32,53.22,Swipe Transaction,No Error,No
125,3311,111,2009,6,6,13:38,-52.0,Swipe Transaction,No Error,No
126,5647,112,2018,9,25,17:47,28.6,Chip Transaction,No Error,No
127,4966,113,2000,11,29,08:54,104.97,Swipe Transaction,No Error,Yes
128,2388,114,2019,10,25,12:01,80.0,Swipe Transaction,No Error,No
129,2975,115,2015,10,20,08:32,94.93,Chip Transaction,No Error,No
130,4066,116,2007,10,20,20:51,34.02,Online Transaction,No Error,No
131,2489,117,2007,9,12,11:45,4.62,Swipe Transaction,No Error,Yes
132,3062,118,2015,7,24,10:12,156.19,Online Transaction,No Error,Yes
133,3199,119,2016,2,2,12:13,34.26,Swipe Transaction,No Error,No
134,1022,120,2016,1,18,07:15,54.0,Chip Transaction,No Error,No
135,3948,121,2018,4,1,00:27,118.59,Chip Transaction,No Error,No
136,3658,122,2014,8,7,12:43,75.94,Swipe Transaction,No Error,No
137,2642,123,2013,11,25,08:44,96.91,Online Transaction,No Error,Yes
138,1480,124,2008,10,9,08:54,9.43,Swipe Transaction,No Error,No
139,4472,125,2016,7,6,10:35,16.2,Chip Transaction,No Error,No
140,4318,126,2019,1,13,08:24,160.0,Chip Transaction,No Error,No
141,4032,127,2018,8,13,10:32,85.61,Chip Transaction,No Error,No
142,2973,128,2010,3,31,14:34,99.0,Swipe Transaction,No Error,No
143,3420,129,2005,8,4,13:22,55.78,Swipe Transaction,No Error,No
144,4620,130,2014,8,16,11:45,-69.0,Swipe Transaction,No Error,No
145,4761,131,2014,2,9,13:07,12.6,Swipe Transaction,No Error,No
146,441,132,2010,12,31,12:57,314.0,Swipe Transaction,No Error,Yes
147,4256,133,2015,2,24,17:40,59.78,Chip Transaction,No Error,No
148,107,134,2015,2,12,10:59,44.85,Chip Transaction,No Error,No
149,2399,135,2013,9,10,12:25,13.53,Swipe Transaction,No Error,No
150,3133,136,2018,12,7,14:27,0.7,Chip Transaction,No Error,No
151,4700,137,2000,4,14,15:53,77.14,Swipe Transaction,No Error,No
152,2440,138,2013,1,17,10:39,16.25,Swipe Transaction,No Error,No
153,2462,139,2009,8,15,11:48,3.37,Swipe Transaction,No Error,No
154,3399,140,2015,6,18,07:41,21.24,Chip Transaction,No Error,No
155,3470,141,2008,11,7,19:44,0.32,Swipe Transaction,No Error,No
156,3325,142,2018,7,11,09:20,8.47,Swipe Transaction,No Error,No
157,3959,143,2018,5,31,22:28,37.07,Chip Transaction,No Error,No
158,609,144,2015,12,15,01:40,60.0,Chip Transaction,No Error,No
159,2837,145,2008,10,3,17:16,44.03,Swipe Transaction,No Error,No
160,1471,146,2019,1,10,12:48,62.31,Chip Transaction,No Error,No
161,2767,147,2009,6,8,16:46,26.18,Swipe Transaction,No Error,No
162,5676,148,2011,9,10,03:36,86.26,Swipe Transaction,No Error,No
163,2249,149,2016,12,28,16:22,41.93,Swipe Transaction,No Error,No
164,4968,150,2009,3,17,09:54,3.43,Swipe Transaction,No Error,No
165,3167,151,2011,8,10,15:14,4.73,Swipe Transaction,No Error,No
166,5493,152,2008,1,20,10:08,3.53,Swipe Transaction,No Error,No
167,3976,153,2019,2,14,17:12,19.45,Swipe Transaction,No Error,No
168,1466,154,2005,6,26,16:40,17.6,Swipe Transaction,No Error,No
169,4621,155,2007,7,30,15:16,32.18,Swipe Transaction,No Error,No
170,2513,156,2008,11,14,11:08,33.51,Swipe Transaction,No Error,No
171,5285,157,2014,9,21,06:04,75.0,Swipe Transaction,No Error,No
172,5065,158,2019,4,26,11:30,44.58,Chip Transaction,No Error,No
173,3932,159,2015,8,4,12:37,-50.0,Swipe Transaction,No Error,No
174,1837,160,2019,11,16,11:57,11.31,Swipe Transaction,No Error,No
175,1625,161,2008,10,17,09:26,9.46,Swipe Transaction,No Error,No
176,1095,162,2016,2,5,16:20,220.0,Swipe Transaction,No Error,No
177,401,163,2012,5,22,19:15,50.68,Online Transaction,No Error,Yes
178,1636,164,2018,5,18,11:58,21.09,Chip Transaction,Bad PIN,No
179,3661,165,2014,3,28,14:52,82.27,Swipe Transaction,No Error,No
180,2932,166,2005,1,8,10:16,51.72,Swipe Transaction,No Error,No
181,4979,167,2019,10,8,15:52,52.33,Chip Transaction,No Error,Yes
182,3332,168,2004,10,13,19:20,77.77,Swipe Transaction,No Error,No
183,1079,169,2008,1,14,23:35,445.0,Swipe Transaction,No Error,No
184,1323,170,2006,11,3,07:42,15.83,Swipe Transaction,No Error,No
185,1348,30,2013,12,15,07:46,77.97,Online Transaction,No Error,Yes
186,1987,171,2015,8,2,02:21,19.92,Chip Transaction,No Error,No
187,2033,172,2016,2,8,12:59,9.09,Chip Transaction,No Error,No
188,2390,173,2008,9,4,18:29,8.63,Swipe Transaction,No Error,No
189,2674,174,2012,11,11,08:06,59.45,Swipe Transaction,No Error,No
190,6076,175,2015,5,21,13:52,35.54,Chip Transaction,Bad PIN,No
191,4120,176,2008,1,1,09:36,5.51,Swipe Transaction,No Error,No
192,4076,177,2018,7,28,14:38,22.81,Chip Transaction,No Error,No
193,5736,178,2015,1,24,13:07,-80.0,Chip Transaction,No Error,No
194,3948,179,2018,12,17,08:16,354.27,Chip Transaction,No Error,No
195,5592,180,2015,7,20,06:56,122.05,Chip Transaction,No Error,No
196,366,181,2015,3,13,15:18,42.34,Chip Transaction,No Error,No
197,2224,182,2016,4,11,13:23,14.25,Chip Transaction,No Error,No
198,3908,183,2014,2,22,11:13,100.15,Swipe Transaction,No Error,No
199,1327,184,2017,6,24,12:38,-64.0,Chip Transaction,No Error,No
200,5652,185,2006,4,21,16:29,28.45,Swipe Transaction,No Error,No
201,1324,186,2012,7,3,22:00,100.0,Swipe Transaction,No Error,No
202,5359,187,2015,11,15,14:26,73.96,Online Transaction,No Error,Yes
203,5816,188,2015,12,19,13:16,2.9,Online Transaction,No Error,Yes
204,1519,189,2016,10,29,08:12,100.48,Chip Transaction,No Error,No
205,2055,190,2016,3,26,16:27,131.33,Chip Transaction,No Error,No
206,3412,191,2003,1,15,07:05,2.91,Swipe Transaction,No Error,No
207,293,192,2013,6,15,20:33,65.2,Swipe Transaction,No Error,No
208,4445,193,2019,3,21,09:38,100.0,Chip Transaction,No Error,No
209,1393,194,2014,12,8,11:04,8.96,Swipe Transaction,No Error,No
210,2348,195,2010,8,26,12:13,88.88,Swipe Transaction,No Error,Yes
211,3718,196,2017,8,29,12:00,71.0,Chip Transaction,No Error,No
212,5680,197,2014,12,1,20:45,63.0,Swipe Transaction,No Error,No
213,1459,43,1992,12,1,07:23,100.0,Swipe Transaction,No Error,No
214,380,198,2014,3,7,08:30,22.76,Swipe Transaction,No Error,No
215,1255,199,2017,3,19,14:54,96.0,Chip Transaction,No Error,No
216,6017,200,2006,6,27,13:21,0.39,Swipe Transaction,No Error,Yes
217,864,201,2010,4,24,17:47,38.96,Swipe Transaction,No Error,No
218,4863,202,2013,3,28,13:00,73.99,Swipe Transaction,No Error,No
219,2840,203,2019,2,6,07:08,87.0,Swipe Transaction,No Error,No
220,4294,204,2016,9,27,16:23,3.58,Chip Transaction,No Error,No
221,4305,205,2002,7,25,15:16,53.82,Swipe Transaction,No Error,No
222,3598,36,2008,4,4,10:38,111.99,Online Transaction,No Error,Yes
223,1588,206,2009,3,14,08:18,58.16,Swipe Transaction,No Error,No
224,2664,207,2015,4,23,15:30,17.08,Chip Transaction,No Error,No
225,2002,208,2011,10,18,08:57,11.87,Swipe Transaction,No Error,No
226,2053,209,2011,9,3,13:11,7.18,Swipe Transaction,No Error,No
227,1395,210,2008,8,10,13:02,8.82,Swipe Transaction,No Error,No
228,1802,211,2019,11,16,07:09,7.74,Chip Transaction,No Error,No
229,2888,212,2003,9,12,15:12,198.49,Online Transaction,No Error,No
230,4085,213,2016,6,21,15:05,184.73,Chip Transaction,No Error,No
231,884,214,2019,1,21,06:27,1.35,Swipe Transaction,No Error,No
232,2975,215,2004,11,11,09:20,77.36,Swipe Transaction,No Error,No
233,5905,216,2004,5,5,14:54,85.0,Swipe Transaction,No Error,No
234,1566,217,2019,1,3,07:02,181.54,Swipe Transaction,No Error,No
